site_id,prev_bucket,verdict,saved,elapsed_s,signal,err,out_tail
education-govt-nz-search,blocked,HEALTHY,3,4.6,,,[education-govt-nz-search] Total: 70 hits across 4 pages. [education-govt-nz-search] Done. Saved: 3 
justice-govt-nz-publications,blocked,BLOCKED_HERE,0,179.4,block:captcha,,ion reports: page 0 fetch failed (see module docstring: AWS WAF captcha block); next section [justice-govt-nz-publications] wall-clock budget exhausted; stopping before section 'Research & data / Factsheets' [justice-govt-nz-publications] done. Total saved: 0 
mpi-govt-nz-resources-and-forms,blocked,DEAD_OR_NET,0,0.9,net:could not fetch,,ps://web.archive.org/web/20251221191151/https://www.mpi.govt.nz/resources-and-forms/economic-intelligence/farm-monitoring/ [mpi-govt-nz-resources-and-forms] ERROR: all fetch attempts failed [mpi-govt-nz-resources-and-forms] FATAL: could not fetch listing page 
nkvts-no-english,blocked,HEALTHY,3,3.0,,,actice: a qualitative study of how he [nkvts-no-english] Saved 2/3: Turnover Intentions Among Intensive Care Healthcare Workers: [nkvts-no-english] Saved 3/3: Wish list from people with lived experience of bipolar disor [nkvts-no-english] Done. Total saved: 3 
phfscience-nz-digital-library,blocked,HEALTHY,3,4.8,,,eekly report - 2026 Week 31 [phfscience-nz-digital-library] saved 2/3: Laboratory-based virology weekly report - 2026 Week 30 [phfscience-nz-digital-library] saved 3/3: Pertussis Report 27 June–24 July 2026 [phfscience-nz-digital-library] done. Total saved: 3 
pmc-gov-au-resources,blocked,INCONCLUSIVE,0,0.2,,,[pmc-gov-au-resources] direct PM&C request blocked for list page 0; using reader fallback [pmc-gov-au-resources] page 0: no records; stopping 
stats-govt-nz-publications,blocked,INCONCLUSIVE,0,33.9,,,vt-nz-publications] CC CDX 'www.stats.govt.nz/reports/*': 0 records [stats-govt-nz-publications] CC CDX 'www.stats.govt.nz/publications/*': 0 records [stats-govt-nz-publications] 0 unique CC records to process [stats-govt-nz-publications] Done. Total saved: 0 
transparency-gov-au-publications,blocked,HEALTHY,3,0.6,,,[transparency-gov-au-publications] done: saved 3 
dapa-go-kr-dapa,blocked_or_dead,INCONCLUSIVE,0,94.0,,,[dapa-go-kr-dapa] List page 1 fetch failed after retries. Stopping. [dapa-go-kr-dapa] Done. Total saved: 0 
data-gov-be-nl,blocked_or_dead,HEALTHY,3,32.0,,, (85 chars) [data-gov-be-nl] item q35915id skipped: abstract too short (72 chars) [data-gov-be-nl] item q35916id skipped: abstract too short (72 chars) [data-gov-be-nl] item q35899id skipped: abstract too short (84 chars) [data-gov-be-nl] Done. Total saved: 3 
doc-cerema-fr-default,blocked_or_dead,DEAD_OR_NET,0,1.3,net:Failed to fetch,,[doc-cerema-fr-default] page 0: saved 0/3 [doc-cerema-fr-default] JSON decode error on page 0: Expecting value: line 1 column 1 (char 0) [doc-cerema-fr-default] Failed to fetch page 0. Stopping. [doc-cerema-fr-default] Done. Total saved: 0 
en-iwhr-cn-iwhr-english-new,blocked_or_dead,INCONCLUSIVE,0,0.3,,,"[en-iwhr-cn-iwhr-english-new] no items on page 1, stopping [en-iwhr-cn-iwhr-english-new] done: saved 0 total "
gsi-ie-en-ie,blocked_or_dead,INCONCLUSIVE,0,13.3,,,[gsi-ie-en-ie] Collecting publication URLs … [gsi-ie-en-ie] Found 0 unique publication URLs [gsi-ie-en-ie] Done: saved 0/3 
info-daegu-go-kr-newshome,blocked_or_dead,INCONCLUSIVE,0,49.0,,,empts for https://info.daegu.go.kr/newshome/mtnmain.php?mtnkey=scatelist&mkey=26&mkey2=&stext=&stext2=&sel_year=&bpage=1: exit=28 stderr= [info-daegu-go-kr-newshome] empty list response at page 1; stopping [info-daegu-go-kr-newshome] crawl complete: saved 0/3 
iwhr-com-zgskywwnew,blocked_or_dead,INCONCLUSIVE,0,0.2,,,[iwhr-com-zgskywwnew] no records on list page: http://www.iwhr.com/zgskywwnew/ddjs/newskzs/N014809index_1.htm [iwhr-com-zgskywwnew] done: saved 0 total 
jeonnam-go-kr-m7116,blocked_or_dead,DEAD_OR_NET,0,102.0,net:Failed to fetch,,16] retrying in 9s... [jeonnam-go-kr-m7116] curl failed after 3 attempts: https://www.jeonnam.go.kr/M7116/boardList.do?menuId=jeonnam0202000000&pageIndex=1 [jeonnam-go-kr-m7116] Failed to fetch list page 1. Stopping. [jeonnam-go-kr-m7116] Done. Total saved: 0 
minfin-gov-gr-grafeio-typou,blocked_or_dead,BROKEN,0,1.5,parse:parse error,,[minfin-gov-gr-grafeio-typou] JSON parse error at page 1: Expecting value: line 1 column 1 (char 0); stopping [minfin-gov-gr-grafeio-typou] done. Total saved: 0 
minscfa-gov-gr-grafeio-typou,blocked_or_dead,BROKEN,0,1.2,parse:no records found,,[minscfa-gov-gr-grafeio-typou] page 1: no records found; end of list [minscfa-gov-gr-grafeio-typou] crawl complete: saved 0 
