site_id,verdict
academie-sciences-fr-espace-presse,된다
accc-gov-au-about-us,된다
accc-gov-au-search,된다
acma-gov-au-publications,된다
acpr-banque-france-fr-fr,된다
adaptcentre-ie-research,된다
adruk-org-news-publications,된다
afd-fr-fr,된다
afp-gov-au-news-centre,된다
afp-gov-au-search,된다
africamuseum-be-en,된다
ag-gov-au-publications,된다
agri-ee-ministeerium-uudised,된다
agriculture-gouv-fr-recherche-developpem,된다
alrc-gov-au-publications,된다
ameslab-gov-news,된다
amf-france-org-fr,된다
ami-swiss-en,된다
amolf-nl-publications,된다
amu-hal-science-search,된다
andra-fr-publications,안됨:수리(코드)
anr-hal-science-search,된다
anses-fr-fr,된다
ansto-gov-au-search,된다
app-mps-gov-cn-gdnps,된다
apra-gov-au-statistics,된다
arcep-fr-actualites,된다
archives-nationales-culture-gouv-fr-presse,된다
arcnl-nl-publications,된다
arcom-fr-presse,된다
arn-se-om-arn,된다
arrow-tudublin-ie-creaart,된다
artsetmetiers-fr-fr,된다
artsetmetiers-hal-science-search,된다
asiapacific-ca-media,된다
asn-fr-information,된다
astro-oma-be-en,된다
astron-nl-about,된다
audencia-com-lecole,된다
auri-re-kr-boardes,된다
auri-re-kr-publication,된다
auswaertiges-amt-de-de,된다
auswaertiges-amt-de-en,된다
avoindata-suomi-fi-data,된다
babraham-ac-uk-news,된다
bam-de-navigation,된다
bankofcanada-ca-publications,된다
banque-france-fr-en,된다
baw-de-en,된다
bdap-opendata-rgs-mef-gov-it-catalog,된다
benthamscience-com-press-release,된다
bfe-admin-ch-bfe,된다
bfr-bund-de-en,된다
bfs-admin-ch-bfs,된다
biblio-naturalsciences-be-rbins-publications,된다
biorbic-com-publications,된다
bj-admin-ch-bj,된다
bjerknes-uib-no-en,된다
bm-dk-soeg,된다
bmas-de-de,된다
bmbfsfj-bund-de-bmbfsfj,된다
bmds-bund-de-aktuelles,된다
bmf-gv-at-ministerium,된다
bmftr-bund-de-siteglobals,된다
bmi-gv-at-114,된다
bmimi-gv-at-themen,된다
bmj-gv-at-ministerium,된다
bmleh-de-en,된다
bmleh-de-siteglobals,된다
bmluk-gv-at-service,된다
bmlv-gv-at-wissen-forschung,된다
bmv-de-en,된다
bmvg-de-en,된다
bmwet-gv-at-services,된다
bmwkms-gv-at-themen,된다
bmwsb-bund-de-de,된다
bmz-de-de,된다
bnf-fr-fr,된다
bok-or-kr-portal,된다
book-ioj-go-kr-library,된다
bordbia-ie-about,안됨:점검필요
boverket-se-en,된다
bra-se-english,된다
brgm-fr-fr,된다
broadbentinstitute-ca-research,된다
brsn-net-list,된다
budget-canada-ca-home-accueil-enhtml,된다
bundesfinanzministerium-de-web,된다
bundesgesundheitsministerium-de-service,된다
bundeskanzleramt-gv-at-bundeskanzleramt,된다
bundesumweltministerium-de-en,된다
busan-go-kr-nbtnewsbu,된다
business-sweden-com-about-us,된다
cac-gov-cn-hdfw,된다
cae-eco-fr-presse-cae-0,된다
caissedesdepots-fr-communiques-de-press,된다
caitec-org-cn-n6,된다
canada-ca-en,된다
cancer-fr-catalogue-des-public,된다
cancer-fr-presse,된다
cancer-gov-about-nci,된다
canurb-org-publications,된다
carabinieri-it-in-vostro-aiuto,된다
casseng-cssn-cn-sky_research,된다
catalog-data-metro-tokyo-lg-jp-dataset,된다
catalogue-data-govt-nz-dataset,된다
cc-nih-gov-research,된다
cdhowe-org-research-insights,된다
cds-cern-ch-collection,된다
cea-hal-science-cnrgh,된다
cedelft-eu-reports,된다
cells-es-en,된다
centralbank-ie-publication,된다
centralesupelec-fr-presse,된다
cepii-fr-cepii,된다
cer-rec-gc-ca-en,된다
cerema-fr-fr,된다
chinatax-gov-cn-chinatax,된다
chineseafs-org-ckynewsmgr,안됨:폐쇄/네트워크
chungnam-go-kr-cnportal,된다
cigionline-org-publications,된다
cirad-fr-espace-presse,된다
civilprotection-gov-gr-deltia-tupou,된다
climateinstitute-ca-newsroom,된다
cmi-no-publications,된다
cnam-hal-science-ceet,된다
cnam-hal-science-search,된다
cnes-fr-communiques,된다
cnic-es-en,된다
cnipa-gov-cn-col,된다
cnl-ca-news-publications,된다
college-de-france-fr-en,된다
comptroller-defense-gov-odcfo,된다
comwel-or-kr-comwel,된다
consult-environment-govt-nz-climate,된다
consult-environment-govt-nz-resource-management,된다
consult-environment-govt-nz-waste,된다
cora-ucc-ie-search,된다
cpb-nl-en,된다
cre-fr-documents,된다
csem-ch-en,된다
csic-es-es,된다
cso-ie-en,안됨:점검필요
csrc-gov-cn-csrc_en,된다
cstb-fr-communiques-de-press,된다
culture-gouv-fr-espace-documentation,된다
cwf-ca-publications,된다
