site_id,fix_class,verdict,counted,collected
directives-doe-gov-directives-browse,FIX_domain,도메인이전→www.energy.gov,205,205
irsn-fr-actualites,FIX_domain,도메인이전→recherche-expertise.asnr.fr,274,274
africamuseum-be-en,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),52,52
agriculture-gouv-fr-recherche-developpem,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),134,472
alrc-gov-au-publications,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),40,116
ansto-gov-au-search,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),26,30
babraham-ac-uk-news,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),483,483
bam-de-navigation,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),0,308
baw-de-en,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),0,14
bfr-bund-de-en,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),1,23
bmas-de-de,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),330,454
bmf-gv-at-ministerium,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),3,36
bmftr-bund-de-siteglobals,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),179,197
bmluk-gv-at-service,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),272,315
bnf-fr-fr,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),488,488
bundeskanzleramt-gv-at-bundeskanzleramt,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),447,480
cae-eco-fr-presse-cae-0,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),64,64
caissedesdepots-fr-communiques-de-press,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),1000,1201
casseng-cssn-cn-sky_research,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),8,8
centralesupelec-fr-presse,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),51,51
college-de-france-fr-en,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),105,105
consult-environment-govt-nz-climate,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),72,72
cso-ie-en,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),0,388
cstb-fr-communiques-de-press,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),48,48
didaktorika-gr-eadd,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),118,118
directives-doe-gov-guidance,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),51,260
doi-gov-bpp,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),204,204
drugsandalcohol-ie-cgi,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),649,500
economy-ni-gov-uk-publications,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),539,583
em-dk-aktuelt,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),350,350
emsl-pnnl-gov-science,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),6,6
en-nim-ac-cn-taxonomy,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),303,303
energy-gov-management,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),388,388
eng-mod-gov-cn-2025xb,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),10,10
english-mee-gov-cn-resources,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),0,20
english-www-gov-cn-archive,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),315,506
ens-lyon-fr-lecole,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),151,154
environment-govt-nz-what-you-can-do,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),0,58
fi-se-en,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),95,122
fmi-ch-research,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),0,818
genome-gov-about-nhgri,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),1,42
graduateinstitute-ch-library,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),213,398
hatvp-fr-actualites-et-public,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),57,57
health-ni-gov-uk-news,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),100,137
hi-no-en,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),119,119
icp-fr-a-propos-de-licp,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),99,99
ifau-se-press,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),215,215
