site_id,prev_bucket,verdict,saved,elapsed_s,signal,err,out_tail
accc-gov-au-about-us,,HEALTHY,3,2.5,,,[accc-gov-au-about-us] crawl complete: saved 3/3 
ami-swiss-en,,HEALTHY,3,11.4,,,"cterial Cellulose Janus Membranes for Oil', skipping. [ami-swiss-en] Saved 2/3: Mechanophores for Mechano‐Imaging in Polymeric Materials [ami-swiss-en] Saved 3/3: Force Reveals Hidden Conformations and Dissociation Pathways [ami-swiss-en] Done. Total saved: 3 "
asn-fr-information,,HEALTHY,3,20.0,,,radioprotection en France en 2024 [asn-fr-information] saved 2/3: La sûreté nucléaire et la radioprotection en France en 2023 [asn-fr-information] saved 3/3: La sûreté nucléaire et la radioprotection en France en 2022 [asn-fr-information] Done. Total saved: 3 
bfs-admin-ch-bfs,,HEALTHY,3,39.7,,,saved 1/3: Grenzgängerstatistik im 2. Quartal 2026 [bfs-admin-ch-bfs] saved 2/3: Mortalitätsmonitoring (MOMO): Wöchentliche Aktualisierung [bfs-admin-ch-bfs] saved 3/3: Touristische Beherbergung von Januar bis Juni 2026 [bfs-admin-ch-bfs] done. Total saved: 3 
bmluk-gv-at-service,,HEALTHY,3,4.2,,,e] saved [1]: Notierungen und Auswertungen - Wöchentliche Kursblätter seit [bmluk-gv-at-service] saved [2]: AMA Flächenauswertung [bmluk-gv-at-service] saved [3]: AMA-Marktinformationen - Marktdaten visualisiert [bmluk-gv-at-service] crawl complete: saved 3/3 
bundesfinanzministerium-de-web,,HEALTHY,3,7.1,,,[bundesfinanzministerium-de-web] crawl done: 3 documents saved 
casseng-cssn-cn-sky_research,,HEALTHY,3,1.6,,,[casseng-cssn-cn-sky_research] page 0: saved 3/3 
cirad-fr-espace-presse,,HEALTHY,3,12.3,,,
cpb-nl-en,,HEALTHY,3,7.7,,,[cpb-nl-en] Saved 1/3: CPB Wereldhandelsmonitor May 2026 [cpb-nl-en] Saved 2/3: National Productivity Board 2025 annual report [cpb-nl-en] Saved 3/3: CPB World Trade Monitor April 2026 [cpb-nl-en] Done. Total saved: 3 
data-gov-au-data,,HEALTHY,3,1.7,,,[data-gov-au-data] Saved 1/3: National Formal Rest Areas [data-gov-au-data] Saved 2/3: Harmonised National Roadworks and Road Closures [data-gov-au-data] Saved 3/3: ASIC - Australian Financial Services Licensee Dataset [data-gov-au-data] Done. Total saved: 3 
defensa-gob-es-gabinete,,HEALTHY,3,5.3,,,-gabinete] saved 2/3: El segundo submarino de la serie S-80 continúa superando hitos para llegar a su [defensa-gob-es-gabinete] saved 3/3: Defensa reitera su compromiso con la soberanía tecnológica y la seguridad [defensa-gob-es-gabinete] done. Total saved: 3 
doaj-org-search,,HEALTHY,3,0.7,block:Challenge,,2083bbe6e4: abstract too short (0 chars) [doaj-org-search] Saved 2/3: Challenges and opportunities in predicting coastal total wat [doaj-org-search] Saved 3/3: Contact-aware multi-skill learning framework with hybrid for [doaj-org-search] Done. Total saved: 3 
ecologie-gouv-fr-presse,,HEALTHY,3,5.7,,,r-presse] saved 2/3: Bison futé pour le week-end du vendredi 7 au lundi 10 août 2026 [ecologie-gouv-fr-presse] saved 3/3: France 2030 : le Gouvernement lance un appel à projets pour accélérer le développement d'é [ecologie-gouv-fr-presse] done. Total saved: 3 
elocus-lib-uoc-gr-search,,HEALTHY,3,10.5,,,ssue mimicking phantoms [elocus-lib-uoc-gr-search] Saved 2/3: Assessing the likelihood of cyber attacks infiltration using [elocus-lib-uoc-gr-search] Saved 3/3: Comparative Study of TDE Host galaxies with TDECat [elocus-lib-uoc-gr-search] Done. Total saved: 3 
