site_id,verdict,fix_class,bf_verdict,counted,collected,url,note
africamuseum-be-en,SUSPECT_nonew,UNDIAGNOSED,,52,52,,새문서0-死의심
agri-ee-ministeerium-uudised,SUSPECT_undercount,UNDIAGNOSED,,8,122,,측정<수집
agriculture-gouv-fr-recherche-developpem,SUSPECT_undercount,UNDIAGNOSED,,134,472,,측정<수집
alrc-gov-au-publications,SUSPECT_undercount,UNDIAGNOSED,,40,116,,측정<수집
andra-fr-publications,FAKE_zero,SKIP_spa,SPA/JS쉘(정적크롤 불가),0,1,https://www.andra.fr,완료인데 0건-차단/고장
ansto-gov-au-search,SUSPECT_undercount,UNDIAGNOSED,,26,30,,측정<수집
astro-oma-be-en,FAKE_zero,UNDIAGNOSED,,0,22,,완료인데 0건-차단/고장
astron-nl-about,FAKE_zero,SKIP_spa,SPA/JS쉘(정적크롤 불가),0,57,https://www.astron.nl,완료인데 0건-차단/고장
auri-re-kr-publication,SUSPECT_undercount,UNDIAGNOSED,,559,593,,측정<수집
babraham-ac-uk-news,SUSPECT_nonew,UNDIAGNOSED,,483,483,,새문서0-死의심
bam-de-navigation,FAKE_zero,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),0,308,https://www.bam.de/Navigation/EN/News/Paper-of-the-Month/paper-of-the-month.html,완료인데 0건-차단/고장
baw-de-en,FAKE_zero,FIX_selector,콘텐츠 있음(셀렉터 노후 의심),0,14,https://www.baw.de/en/publikationen/geschaeftsbericht/geschaeftsbericht.html,완료인데 0건-차단/고장
bfr-bund-de-en,FAKE_tiny,UNDIAGNOSED,,1,23,,극소카운트-차단의심
biorbic-com-publications,SUSPECT_undercount,UNDIAGNOSED,,467,497,,측정<수집
bmas-de-de,SUSPECT_undercount,UNDIAGNOSED,,330,454,,측정<수집
bmf-gv-at-ministerium,FAKE_tiny,UNDIAGNOSED,,3,36,,극소카운트-차단의심
bmftr-bund-de-siteglobals,SUSPECT_undercount,UNDIAGNOSED,,179,197,,측정<수집
bmluk-gv-at-service,SUSPECT_undercount,UNDIAGNOSED,,272,315,,측정<수집
bmz-de-de,SUSPECT_nonew,UNDIAGNOSED,,6,6,,새문서0-死의심
bnf-fr-fr,SUSPECT_nonew,UNDIAGNOSED,,488,488,,새문서0-死의심
bordbia-ie-about,FAKE_zero,FIX_stealth,WAF차단(헤더/스텔스 우회검증필요),0,20,https://www.bordbia.ie,완료인데 0건-차단/고장
bundeskanzleramt-gv-at-bundeskanzleramt,SUSPECT_undercount,UNDIAGNOSED,,447,480,,측정<수집
cae-eco-fr-presse-cae-0,SUSPECT_nonew,UNDIAGNOSED,,64,64,,새문서0-死의심
caissedesdepots-fr-communiques-de-press,SUSPECT_undercount,UNDIAGNOSED,,1000,1201,,측정<수집
casseng-cssn-cn-sky_research,SUSPECT_nonew,UNDIAGNOSED,,8,8,,새문서0-死의심
cdhowe-org-research-insights,SUSPECT_nonew,UNDIAGNOSED,,344,344,,새문서0-死의심
cells-es-en,FAKE_zero,FIX_stealth,WAF차단(헤더/스텔스 우회검증필요),0,11,https://www.cells.es,완료인데 0건-차단/고장
centralesupelec-fr-presse,SUSPECT_nonew,UNDIAGNOSED,,51,51,,새문서0-死의심
cer-rec-gc-ca-en,SUSPECT_undercount,UNDIAGNOSED,,174,175,,측정<수집
college-de-france-fr-en,SUSPECT_nonew,UNDIAGNOSED,,105,105,,새문서0-死의심
consult-environment-govt-nz-climate,SUSPECT_nonew,UNDIAGNOSED,,72,72,,새문서0-死의심
